"SpecCode","Species","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","SpecimenType","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
3710,"Alloclinus holderi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3568,"Anisotremus davidsonii",5646,3764,NA,83530,35.6,46.2,"TL",NA,NA,4,"unsexed",0.0188,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3","fresh","Santo Domingo",NA,"484","Length type presumably total length.",3,2010-02-10,NA,2010-02-11,NA,NA,NA
3523,"Apogon guadalupensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3235,"Atherinops affinis",5255,3431,623,59092,4.4,17.7,"SL",NA,"Yes",198,"mixed",0.04,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","coastal streams' mouths, northwestern Baja California (32°23'01"" N--30°02'32.5"" N), 1983-97",59092,"484",NA,3,2008-12-15,65,2015-06-23,NA,NA,NA
3235,"Atherinops affinis",36709,3431,NA,72146,4.4,17.7,"TL",NA,NA,198,"unsexed",0.04,NA,2.5,0.97,NA,NA,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","northwestern Baja California / 1983-1997",NA,"484",NA,65,2015-07-02,NA,2015-07-02,NA,NA,NA
4276,"Balistes polylepis",5925,4472,445,78739,15,48,"TL",NA,NA,NA,"unsexed",0.0547,NA,2.66,0.91012,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","fresh","Playa Norte, Mazatlán, Sinaloa, 2000-2001",78739,"484",NA,3,2008-12-19,NA,2008-12-19,NA,NA,NA
4276,"Balistes polylepis",36053,4472,NA,91172,5.2,42.8,"TL",NA,NA,79,"unsexed",0.043,0.043,2.71,0.781,NA,0.0179999992251396,NA,NA,NA,NA,NA,NA,"Type I linear regression","fresh","Gulf of California (Southern Sinaloa and Nayarit), 2005-2007",91172,"484",NA,393,2014-07-31,NA,2014-07-31,NA,NA,NA
4276,"Balistes polylepis",42816,4472,NA,118191,5.8,31,"TL",NA,NA,101,"unsexed",0.042,NA,2.701,0.982,NA,NA,NA,NA,0.034000001847744,0.0500000007450581,2.63499999046326,2.76699995994568,"Type I linear regression",NA,"Bahia Magdalena-Almejas lagoon system / 2014-2015.",NA,"484",NA,65,2019-10-25,NA,2019-10-25,NA,NA,NA
3625,"Brachyistius frenatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3539,"Caulolatilus princeps",5618,3735,308,40637,62.2,62.2,"TL",NA,NA,1,"unsexed",0.0239,0.0239,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3","fresh",NA,NA,NA,"L-W relationship calculated from data in Ref. 40637.",3,2002-04-12,NA,2002-04-13,NA,NA,NA
