SpecCode,species,AutoCtr,StockCode,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,SpecimenType,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
3710,Alloclinus holderi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0049,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3568,Anisotremus davidsonii,5646,3764,NA,83530,35.6,46.2,TL,NA,NA,4,unsexed,0.0188,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,several L-W pairs with b=3,fresh,Santo Domingo,NA,484,Length type presumably total length.,3,2/10/10,NA,2/11/10,NA,NA,NA
NA,Apogon guadalupensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01096,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3235,Atherinops affinis,5255,3431,623,59092,4.4,17.7,SL,NA,Yes,198,mixed,0.04,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,fresh,"coastal streams' mouths, northwestern Baja California (32°23'01"" N--30°02'32.5"" N), 1983-97",59092,484,NA,3,12/15/08,65,6/23/15,NA,NA,NA
4276,Balistes polylepis,42816,4472,NA,118191,5.8,31,TL,NA,NA,101,unsexed,0.042,NA,2.701,0.982,NA,NA,NA,NA,0.034000002,0.050000001,2.63499999,2.76699996,Type I linear regression,NA,Bahia Magdalena-Almejas lagoon system / 2014-2015.,NA,484,NA,65,10/25/19,NA,10/25/19,NA,NA,NA
3625,Brachyistius frenatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01349,NA,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3539,Caulolatilus princeps,5618,3735,308,40637,62.2,62.2,TL,NA,NA,1,unsexed,0.0239,0.0239,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,fresh,NA,NA,NA,L-W relationship calculated from data in Ref. 40637.,3,4/12/02,NA,4/13/02,NA,NA,NA
3646,Chromis punctipinnis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01479,NA,2.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3628,Embiotoca jacksoni,11226,3824,NA,91739,7.5,22,SL,NA,NA,614,mixed,0.0616,NA,2.8636,0.9629,NA,NA,NA,NA,NA,NA,NA,NA,Type I linear regression,fresh,"southern California, 2004-2005",91739,840,NA,393,11/17/12,NA,11/19/12,NA,NA,NA
3723,Gibbonsia elegans,40940,3919,NA,115897,1.86,13.18,SL,NA,NA,114,unsexed,0.00857,NA,3.104,0.932,NA,NA,NA,NA,NA,NA,2.946000099,3.260999918,Type I linear regression,fresh,Baja California peninsula / 2006-2008,NA,484,NA,65,9/12/17,NA,9/12/17,NA,NA,NA
