HORN_DENS,SAPA_DENS,STOS_DENS,MUTI_DENS,MAPY_DENS,EISN_DENSITY,DICO,ZONA,HORN_R,SAPA_R,STOS_R,SAMU_R,MAPY_R
5.6,0,0.8,2,0.05,0,14,5.6,28.4,0,0,0.8,0
46.4,1.6,0.4,0,0.1,0,18.8,4.4,24.4,0,0,0,0
49.6,0.4,0,0,0.1,0,22,0.8,17.2,0,0,0.4,0
15.6,0.8,0,0,0.183333333,0,19.2,2.8,39.2,0,0,0,0
24,0,5.2,0.8,0.4,0,27.2,0.4,17.2,0,0,0,1.6
3.6,0,4.4,0,0.9,0,8.4,1.2,13.2,0,0,0,0
2.8,0,5.2,0,0.583333333,0,5.6,2,8.4,0,0,0,0
14.8,0,2.4,0,0.833333333,0,7.6,2.8,18.4,0,0,0,0
14.8,5.2,0,1.2,0,0,2.8,1.6,31.6,0,0,0.8,0
22,3.2,0,4,0,0,6,0.8,30,0,0,0,0
4.4,6.4,0,3.2,0,0,0.4,5.2,12,3.2,0,0.8,0
13.6,0.8,0,0.4,0,0,1.2,2.4,15.2,0.8,0,0,0
12.8,4.8,0.8,0,0.033333333,0,10.4,12.4,17.6,0,0,0.4,0
26.4,1.2,0.8,1.6,0.016666667,0,12,2.4,14,0,0,0.4,0
24.8,4.4,0,1.2,0,0,5.6,2,30,0,0,0.4,0
0,1.2,0,0.4,0,0,2.8,2,20.8,0,0,0,0
10.8,0.8,1.6,1.2,0.1,0,7.6,6.4,21.6,0,0,0,0
10.4,12,3.2,1.6,0,0,9.2,5.2,14.8,1.2,0,0,0
6.8,5.2,1.2,3.2,0.066666667,0,3.2,7.2,39.6,0,0,0,0
3.6,0.4,0,0.4,0,0,1.2,2,8,2,0,0,0
13.2,10.8,0.8,2.8,0,0,6.8,2.8,14,0.4,0,2,0
5.2,2.8,0,0,0,0,4.8,24,2.4,0,0,0,0
4,14,0,0.4,0,0,2.4,16.8,2.8,1.6,0,0,0
2.4,2,0,0.4,0,0,1.2,12,4,0.8,0,0,0
10.8,0,2,0,0.45,0,16.4,11.2,15.6,0,0,0,1.2
53.2,0,0,0.4,0.15,0,23.2,3.6,18.8,0,0,0,3.6
19.6,0.4,1.6,0,0.216666667,0,26.4,4.8,15.6,0,0,0.8,2
14.8,4.8,2,0.8,0,0,13.6,5.6,26.4,0,0,1.2,0
17.6,1.2,0,0,0,0,0.4,5.2,14,0,0,0,0
25.6,0.4,0,0,0,0,3.6,3.6,5.6,0,0,0,0
18,0.8,1.2,0,0.016666667,0,4,1.6,4,0,0,0,0
20,0,0.4,0,0.016666667,0,9.6,4,11.6,0,0,0,0
37.2,0.4,2,0,0.05,0,4.8,0.4,14.8,0,0,0,0
14.8,0,14,0,0.016666667,0,22,2.8,10.4,0,0,0,0
11.2,0,0.4,0,0.1,0,10,3.2,3.6,0,0,0,0
12,0,10.4,0,0.116666667,0.016666667,17.6,2.4,3.6,0,0,0,0
28,0,0,0.4,0,0,1.6,0.4,6.4,0,0,0,0
15.2,0,0,0,0,0,0,1.2,2.4,0,0,0,0
13.6,0.8,1.2,0.8,0,0,1.2,10.4,2.4,0,0,0,0
6.8,0.4,0,0,0,0,0,4.4,2,0,0,0,0
24,2.4,1.6,0,0.016666667,0,2.8,10.4,10,0,0,0,0
18,0,0,0,0,0.033333333,2,2.4,3.6,0,0,0,0
10,2,0,0,0,0,0.8,1.6,4.8,0,0,0,0
7.2,1.2,0,0,0,0.016666667,2,0.4,7.6,0,0,0,0
17.2,0,0.4,0,0,0,1.2,4.4,6.4,0,0,0,0
23.2,1.2,1.2,0.4,0,0,4.8,7.2,4.8,0,0.4,0,0
36,2,0,0,0,0.066666667,2.4,3.2,7.2,0,0,0,0
11.2,1.2,0,0,0,0.016666667,2.8,4.8,7.6,0,0,0,0
25.6,1.2,0,0,0,0,4.4,6.4,4,0,0,0,0
2.8,0.4,0,0,0,0,2.4,5.2,0.4,0,0,0,0
8,0,0,0,0,0,4.4,4.8,2,0,0,0,0
9.2,1.6,0,3.2,0,0,3.2,8.8,0,0,0,0,0
18.4,1.6,1.2,0,0.2,0.033333333,2.4,10.4,10.8,0,0,0,0
20.4,0,1.6,0,0.083333333,0,13.6,13.2,15.2,0,0,0,0
24,0,5.6,0,0.166666667,0,4.8,4,16.4,0,0,0,0
37.6,1.6,1.6,0,0.05,0,3.2,2.4,12,0,0,0,0
7.6,0,2,0.8,0.266666667,0.033333333,22.4,0.8,19.2,0,0,0,0
18.4,0,0,12,0.066666667,0.016666667,2.8,0.8,31.6,0,0,0,0
24,0,0.4,0,0.083333333,0.016666667,5.2,0.8,30.4,0,0,0,0
6.8,0,0.4,0,0.133333333,0.033333333,8.8,2,37.6,0,0,0,0
18.8,0,2,0,0.15,0,10.8,0,24,0,0,0,0
38,0,6.4,0,0.316666667,0,5.2,0.4,13.6,0,0,0,0
11.2,0,1.2,0,0.15,0,0.8,0.4,2.8,0,0,0,0
19.6,0,4,0,1.216666667,0.016666667,1.6,0,6,0,0,0,0
12.8,0,0,0,0,0,1.6,0.4,30,0,0,0,0
3.2,0,0,3.2,0,0,3.6,0,11.6,0,0,0,0
0.4,0,0,7.6,0,0,0,0.8,0,0,0,0,0
0.8,0,0,0,0,0,1.2,0.4,0.4,0,0,0,0
13.6,0,0,0,0.066666667,0,8.8,13.2,4,0,0,0,0
99.2,0,0,0.4,0,0,14.4,2.4,46,0,0,0,0
3.2,0,5.6,0,0,0,5.2,0.4,13.6,0,0,0,0
6,0,0,0,0,0,2.4,0,8.8,0,0,0,0
3.6,0,0,4.8,0.083333333,0,4.4,11.2,10,0,0,0,0
3.2,1.2,2,0,0.033333333,0,3.2,4.4,6,0,0,0,0
4.4,0.8,0,1.6,0.016666667,0,4.4,4,9.2,0,0,0,0
1.6,1.2,0,0,0,0.016666667,0,0.4,0.8,0,0,0,0
2.8,0,0,0.8,0,0,3.2,2,2,0,0,0,0
2,0.4,0,0,0,0.033333333,0,11.2,0,0,0,0,0
5.2,0,0,0,0,0,0.8,22.4,0.4,0,0,0,0
0,0,0,0,0,0.05,0,0.8,0,0,0,0,0
18,0,2,0.4,0.6,0,3.2,4.4,16.4,0,0,0,0
23.6,0,1.6,0.4,0.45,0,33.2,6.8,22.8,0,0,0,0
22,0,8,0.4,0.366666667,0,3.6,8.4,14,0,0,0,0
8.8,0,1.6,4,0.016666667,0.016666667,0,1.2,18,0,0,0,0
4.4,0,1.6,0,0.016666667,0.016666667,21.2,4.4,8,0,0,0,0
5.2,0,0,0,0,0,12.4,4.4,14.4,0,0,0,0
0.8,0,0,0,0.216666667,0,23.6,1.2,21.6,0,0,0,0
2.4,0,0,0,0.05,0,14.4,6.8,21.2,0,0,0,0
1.2,0,2.4,0,1.95,0,18.4,4.4,24.4,0,0,0,0
0,0,9.6,0,1.1,0,23.2,0.4,10,0,0,0,0
0.4,0,4.8,0,0.35,0.016666667,10.4,1.6,6.8,0,0,0,0
0,0,6,0,0.516666667,0.033333333,15.6,9.2,7.2,0,0,0,0
4,1.2,0.4,0,0,0,9.6,5.2,0,0,0,0,0
