Site,Season,TRAN,total_biomass,log_total_biomass
ARROW,FALL,1,126.8546479857865,4.8508940560688325
ARROW,FALL,2,42.508010389615535,3.772945068029395
ARROW,FALL,3,83.82079001717621,4.440540678046646
ARROW,FALL,4,111.88643025815192,4.726382271355753
ARROW,SPRING,1,154.97689984365113,5.049707918359605
ARROW,SPRING,2,119.93379334891142,4.795243233443075
ARROW,SPRING,3,618.2724576943227,6.428545333669603
ARROW,SPRING,4,102.12010416886709,4.635894368801747
ARROW,SUMMER,1,102.18071721749907,4.636481986921431
ARROW,SUMMER,2,133.72692520070095,4.903249953572358
ARROW,SUMMER,3,180.44375554419005,5.200945718871196
ARROW,SUMMER,4,138.02621065268912,4.934662481201071
ARROW,SUMMER-2,1,77.04471261456138,4.357281901099303
ARROW,SUMMER-2,2,151.66970227955645,5.028276779175618
ARROW,SUMMER-2,3,77.4681237818792,4.362692475848171
ARROW,SUMMER-2,4,162.2757973725119,5.095440779393467
ARROW,WINTER,1,300.79857041598694,5.709759809463639
ARROW,WINTER,2,342.6010824362933,5.839481340385387
ARROW,WINTER,3,385.71157567786275,5.957679132682582
ARROW,WINTER,4,344.4311954858299,5.84479347861696
BEYOND,FALL,1,50.865324233670876,3.9486504403569893
BEYOND,FALL,2,102.13299616305319,4.636019380199706
BEYOND,FALL,3,75.39533214866472,4.335921596775378
BEYOND,FALL,4,272.1008092523883,5.609840991684307
BEYOND,SPRING,1,58.832029206407356,4.091541123029496
BEYOND,SPRING,2,38.17538015107546,3.6680484921152434
BEYOND,SPRING,3,242.15203707237265,5.493686914657072
BEYOND,SPRING,4,291.59373410139415,5.678785073802369
BEYOND,SUMMER,1,91.09594112163889,4.5228308719496235
BEYOND,SUMMER,2,77.99575405350453,4.369394104864474
BEYOND,SUMMER,3,6657.130294807373,8.803593987605153
BEYOND,SUMMER,4,370.6630927766378,5.9179877793322655
BEYOND,SUMMER-2,1,158.80216494619063,5.073936581088905
BEYOND,SUMMER-2,2,98.36943686540594,4.598844590178869
