Season,Site,Tran,Tran_ID,H
FALL,ARROW,A,ARROW_A,0.600397256
FALL,ARROW,B,ARROW_B,0.248360873
FALL,ARROW,C,ARROW_C,0.339344044
FALL,ARROW,D,ARROW_D,0.53771568
FALL,BEYOND,A,BEYOND_A,0.477322247
FALL,BEYOND,B,BEYOND_B,0.440528864
FALL,BEYOND,C,BEYOND_C,0.593404136
FALL,BEYOND,D,BEYOND_D,0.334536625
FALL,EMPIRE,A,EMPIRE_A,0.584797506
FALL,EMPIRE,B,EMPIRE_B,0.619935148
FALL,EMPIRE,C,EMPIRE_C,0.583297904
FALL,EMPIRE,D,EMPIRE_D,0.543003563
FALL,INDIANS,A,INDIANS_A,1.060780355
FALL,INDIANS,B,INDIANS_B,0.291584252
FALL,INDIANS,C,INDIANS_C,0.34860667
FALL,INDIANS,D,INDIANS_D,0.495541689
FALL,ISTHMUS,A,ISTHMUS_A,0.60004948
FALL,ISTHMUS,B,ISTHMUS_B,0.542726318
FALL,ISTHMUS,C,ISTHMUS_C,0.691636126
FALL,ISTHMUS,D,ISTHMUS_D,0.639577171
FALL,PARADISE,A,PARADISE_A,0.524542315
FALL,PARADISE,B,PARADISE_B,0.62745341
FALL,PARADISE,C,PARADISE_C,0.664960092
FALL,PARADISE,D,PARADISE_D,0.867531579
FALL,PARSONS,A,PARSONS_A,0.358230735
FALL,PARSONS,B,PARSONS_B,0.582618388
FALL,PARSONS,C,PARSONS_C,0.886480522
FALL,PARSONS,D,PARSONS_D,0.477690416
SPRING,ARROW,A,ARROW_A,0.601971521
SPRING,ARROW,B,ARROW_B,1.074277731
SPRING,ARROW,C,ARROW_C,0.837974934
SPRING,ARROW,D,ARROW_D,0.875453086
SPRING,BEYOND,A,BEYOND_A,0.551845166
SPRING,BEYOND,B,BEYOND_B,0.405123935
SPRING,BEYOND,C,BEYOND_C,1.140574209
SPRING,BEYOND,D,BEYOND_D,1.225295163
SPRING,EMPIRE,A,EMPIRE_A,0.316408016
SPRING,EMPIRE,B,EMPIRE_B,0.999445677
SPRING,EMPIRE,C,EMPIRE_C,1.013677875
SPRING,EMPIRE,D,EMPIRE_D,0.951789705
SPRING,INDIANS,A,INDIANS_A,1.043202956
SPRING,INDIANS,B,INDIANS_B,0.546762333
SPRING,INDIANS,C,INDIANS_C,0.781427396
SPRING,INDIANS,D,INDIANS_D,0.741148013
SPRING,ISTHMUS,A,ISTHMUS_A,0.721684169
SPRING,ISTHMUS,B,ISTHMUS_B,0.820297322
SPRING,ISTHMUS,C,ISTHMUS_C,0.808624762
SPRING,ISTHMUS,D,ISTHMUS_D,0.822461153
SPRING,PARADISE,A,PARADISE_A,1.02227674
SPRING,PARADISE,B,PARADISE_B,1.442567087
SPRING,PARADISE,C,PARADISE_C,1.34738265
SPRING,PARADISE,D,PARADISE_D,1.429133786
SPRING,PARSONS,A,PARSONS_A,0.711633301
SPRING,PARSONS,B,PARSONS_B,1.230485218
SPRING,PARSONS,C,PARSONS_C,0.647626447
SPRING,PARSONS,D,PARSONS_D,0.732169699
SUMMER,ARROW,A,ARROW_A,0.526831382
SUMMER,ARROW,B,ARROW_B,0.500761694
SUMMER,ARROW,C,ARROW_C,0.394000114
SUMMER,ARROW,D,ARROW_D,1.333678113
SUMMER,BEYOND,A,BEYOND_A,1.2002184
SUMMER,BEYOND,B,BEYOND_B,0.647110692
SUMMER,BEYOND,C,BEYOND_C,1.787607741
SUMMER,BEYOND,D,BEYOND_D,0.544879526
SUMMER,EMPIRE,A,EMPIRE_A,0.901368081
SUMMER,EMPIRE,B,EMPIRE_B,1.201161774
SUMMER,EMPIRE,C,EMPIRE_C,1.316669377
SUMMER,EMPIRE,D,EMPIRE_D,1.248568994
SUMMER,INDIANS,A,INDIANS_A,0.615048894
SUMMER,INDIANS,B,INDIANS_B,0.3263968
SUMMER,INDIANS,C,INDIANS_C,0.407274888
SUMMER,INDIANS,D,INDIANS_D,0.996397055
SUMMER,ISTHMUS,A,ISTHMUS_A,0.548869271
SUMMER,ISTHMUS,B,ISTHMUS_B,0.467949278
SUMMER,ISTHMUS,C,ISTHMUS_C,0.560597186
SUMMER,ISTHMUS,D,ISTHMUS_D,0.441827211
SUMMER,PARADISE,A,PARADISE_A,0.393067569
SUMMER,PARADISE,B,PARADISE_B,1.31361048
SUMMER,PARADISE,C,PARADISE_C,0.856512972
SUMMER,PARADISE,D,PARADISE_D,1.254226232
SUMMER,PARSONS,A,PARSONS_A,1.007641829
SUMMER,PARSONS,B,PARSONS_B,1.3808826
SUMMER,PARSONS,C,PARSONS_C,0.810049225
SUMMER,PARSONS,D,PARSONS_D,0.993668234
SUMMER-2,ARROW,A,ARROW_A,0.665769725
SUMMER-2,ARROW,B,ARROW_B,0.898170787
SUMMER-2,ARROW,C,ARROW_C,0.839677955
SUMMER-2,ARROW,D,ARROW_D,1.469546697
SUMMER-2,BEYOND,A,BEYOND_A,0.992965282
SUMMER-2,BEYOND,B,BEYOND_B,1.454995365
SUMMER-2,BEYOND,C,BEYOND_C,1.021104798
SUMMER-2,BEYOND,D,BEYOND_D,1.378235371
SUMMER-2,EMPIRE,A,EMPIRE_A,0.793807126
SUMMER-2,EMPIRE,B,EMPIRE_B,0.849451637
SUMMER-2,EMPIRE,C,EMPIRE_C,1.037420182
SUMMER-2,EMPIRE,D,EMPIRE_D,1.061214446
SUMMER-2,INDIANS,A,INDIANS_A,0.561401463
SUMMER-2,INDIANS,B,INDIANS_B,0.346869287
SUMMER-2,INDIANS,C,INDIANS_C,1.100620721
SUMMER-2,INDIANS,D,INDIANS_D,1.137739134
SUMMER-2,ISTHMUS,A,ISTHMUS_A,0.637546142
SUMMER-2,ISTHMUS,B,ISTHMUS_B,0.658578765
SUMMER-2,ISTHMUS,C,ISTHMUS_C,1.357912011
SUMMER-2,ISTHMUS,D,ISTHMUS_D,0.476372997
SUMMER-2,PARADISE,A,PARADISE_A,0.588174504
SUMMER-2,PARADISE,B,PARADISE_B,1.33851663
SUMMER-2,PARADISE,C,PARADISE_C,1.16274739
SUMMER-2,PARADISE,D,PARADISE_D,1.350802883
SUMMER-2,PARSONS,A,PARSONS_A,1.804938432
SUMMER-2,PARSONS,B,PARSONS_B,0.689011778
SUMMER-2,PARSONS,C,PARSONS_C,1.061416654
SUMMER-2,PARSONS,D,PARSONS_D,1.473969843
WINTER,ARROW,A,ARROW_A,0.559513431
WINTER,ARROW,B,ARROW_B,0.575457434
WINTER,ARROW,C,ARROW_C,0.998379065
WINTER,ARROW,D,ARROW_D,0.826119234
WINTER,BEYOND,A,BEYOND_A,0.893348378
WINTER,BEYOND,B,BEYOND_B,0.782523582
WINTER,BEYOND,C,BEYOND_C,0.887444002
WINTER,BEYOND,D,BEYOND_D,0.971187608
WINTER,EMPIRE,A,EMPIRE_A,1.255927568
WINTER,EMPIRE,B,EMPIRE_B,1.00385581
WINTER,EMPIRE,C,EMPIRE_C,1.220269188
WINTER,EMPIRE,D,EMPIRE_D,0.93360101
WINTER,INDIANS,A,INDIANS_A,0.842156742
WINTER,INDIANS,B,INDIANS_B,0.784519614
WINTER,INDIANS,C,INDIANS_C,0.981815198
WINTER,INDIANS,D,INDIANS_D,0.262242416
WINTER,ISTHMUS,A,ISTHMUS_A,0.719431692
WINTER,ISTHMUS,B,ISTHMUS_B,1.01659296
WINTER,ISTHMUS,C,ISTHMUS_C,0.64043898
WINTER,ISTHMUS,D,ISTHMUS_D,0.925253433
WINTER,PARADISE,A,PARADISE_A,0.716674298
WINTER,PARADISE,B,PARADISE_B,0.936500433
WINTER,PARADISE,C,PARADISE_C,1.092645304
WINTER,PARADISE,D,PARADISE_D,0.933710818
WINTER,PARSONS,A,PARSONS_A,0.974372745
WINTER,PARSONS,B,PARSONS_B,1.154754683
WINTER,PARSONS,C,PARSONS_C,1.485803754
WINTER,PARSONS,D,PARSONS_D,1.241398881
