Season,Site,Transect,Strata,species,12
SUMMER,PARSONS,1,CANOPY,Apogon guadalupensis,0
SUMMER,PARSONS,1,MIDWATER,Apogon guadalupensis,0
SUMMER,PARSONS,1,BENTHIC,Apogon guadalupensis,0
SUMMER,PARSONS,2,CANOPY,Apogon guadalupensis,0
SUMMER,PARSONS,2,MIDWATER,Apogon guadalupensis,0
SUMMER,PARSONS,2,BENTHIC,Apogon guadalupensis,0
SUMMER,PARSONS,3,CANOPY,Apogon guadalupensis,0
SUMMER,PARSONS,3,MIDWATER,Apogon guadalupensis,0
SUMMER,PARSONS,3,BENTHIC,Apogon guadalupensis,0
SUMMER,PARSONS,4,CANOPY,Apogon guadalupensis,0
SUMMER,PARSONS,4,MIDWATER,Apogon guadalupensis,0
SUMMER,PARSONS,4,BENTHIC,Apogon guadalupensis,0
SUMMER,ARROW,1,CANOPY,Apogon guadalupensis,0
SUMMER,ARROW,1,MIDWATER,Apogon guadalupensis,0
SUMMER,ARROW,1,BENTHIC,Apogon guadalupensis,0
SUMMER,ARROW,2,CANOPY,Apogon guadalupensis,0
SUMMER,ARROW,2,MIDWATER,Apogon guadalupensis,0
SUMMER,ARROW,2,BENTHIC,Apogon guadalupensis,0
SUMMER,ARROW,3,CANOPY,Apogon guadalupensis,0
SUMMER,ARROW,3,MIDWATER,Apogon guadalupensis,0
SUMMER,ARROW,3,BENTHIC,Apogon guadalupensis,0
SUMMER,ARROW,4,CANOPY,Apogon guadalupensis,0
SUMMER,ARROW,4,MIDWATER,Apogon guadalupensis,0
SUMMER,ARROW,4,BENTHIC,Apogon guadalupensis,0
SUMMER,BEYOND,1,CANOPY,Apogon guadalupensis,0
SUMMER,BEYOND,1,MIDWATER,Apogon guadalupensis,0
SUMMER,BEYOND,1,BENTHIC,Apogon guadalupensis,0
SUMMER,BEYOND,2,CANOPY,Apogon guadalupensis,0
SUMMER,BEYOND,2,MIDWATER,Apogon guadalupensis,0
SUMMER,BEYOND,2,BENTHIC,Apogon guadalupensis,0
SUMMER,BEYOND,3,CANOPY,Apogon guadalupensis,0
SUMMER,BEYOND,3,MIDWATER,Apogon guadalupensis,0
SUMMER,BEYOND,3,BENTHIC,Apogon guadalupensis,0
SUMMER,BEYOND,4,CANOPY,Apogon guadalupensis,0
SUMMER,BEYOND,4,MIDWATER,Apogon guadalupensis,0
SUMMER,BEYOND,4,BENTHIC,Apogon guadalupensis,0
SUMMER,PARADISE,1,CANOPY,Apogon guadalupensis,0
SUMMER,PARADISE,1,MIDWATER,Apogon guadalupensis,0
SUMMER,PARADISE,1,BENTHIC,Apogon guadalupensis,0
SUMMER,PARADISE,2,CANOPY,Apogon guadalupensis,0
SUMMER,PARADISE,2,MIDWATER,Apogon guadalupensis,0
SUMMER,PARADISE,2,BENTHIC,Apogon guadalupensis,0
SUMMER,PARADISE,3,CANOPY,Apogon guadalupensis,0
SUMMER,PARADISE,3,MIDWATER,Apogon guadalupensis,0
SUMMER,PARADISE,3,BENTHIC,Apogon guadalupensis,0
SUMMER,PARADISE,4,CANOPY,Apogon guadalupensis,0
SUMMER,PARADISE,4,MIDWATER,Apogon guadalupensis,0
SUMMER,PARADISE,4,BENTHIC,Apogon guadalupensis,0
SUMMER,EMPIRE,1,CANOPY,Apogon guadalupensis,0
SUMMER,EMPIRE,1,MIDWATER,Apogon guadalupensis,0
SUMMER,EMPIRE,1,BENTHIC,Apogon guadalupensis,0
SUMMER,EMPIRE,2,CANOPY,Apogon guadalupensis,0
SUMMER,EMPIRE,2,MIDWATER,Apogon guadalupensis,0
SUMMER,EMPIRE,2,BENTHIC,Apogon guadalupensis,0
SUMMER,EMPIRE,3,CANOPY,Apogon guadalupensis,0
SUMMER,EMPIRE,3,MIDWATER,Apogon guadalupensis,0
SUMMER,EMPIRE,3,BENTHIC,Apogon guadalupensis,0
SUMMER,EMPIRE,4,CANOPY,Apogon guadalupensis,0
SUMMER,EMPIRE,4,MIDWATER,Apogon guadalupensis,0
SUMMER,EMPIRE,4,BENTHIC,Apogon guadalupensis,0
SUMMER,INDIANS,1,CANOPY,Apogon guadalupensis,0
SUMMER,INDIANS,1,MIDWATER,Apogon guadalupensis,0
SUMMER,INDIANS,1,BENTHIC,Apogon guadalupensis,0
SUMMER,INDIANS,2,CANOPY,Apogon guadalupensis,0
SUMMER,INDIANS,2,MIDWATER,Apogon guadalupensis,0
SUMMER,INDIANS,2,BENTHIC,Apogon guadalupensis,0
SUMMER,INDIANS,3,CANOPY,Apogon guadalupensis,0
SUMMER,INDIANS,3,MIDWATER,Apogon guadalupensis,0
SUMMER,INDIANS,3,BENTHIC,Apogon guadalupensis,0
SUMMER,INDIANS,4,CANOPY,Apogon guadalupensis,0
SUMMER,INDIANS,4,MIDWATER,Apogon guadalupensis,0
SUMMER,INDIANS,4,BENTHIC,Apogon guadalupensis,0
SUMMER,ISTHMUS,1,CANOPY,Apogon guadalupensis,0
SUMMER,ISTHMUS,1,MIDWATER,Apogon guadalupensis,0
