Season,Site,Transect,Strata,species,3,8,12,13,17,18,19,23
SUMMER,PARSONS,1,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,1,MIDWATER,Brachyistius frenatus,0,0,0,0,2,0,0,2
SUMMER,PARSONS,1,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,2,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,2,MIDWATER,Brachyistius frenatus,0,0,1,0,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,3,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,3,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,4,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,4,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARSONS,4,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,1,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,1,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,1,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,2,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,2,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,1,0
SUMMER,ARROW,2,BENTHIC,Brachyistius frenatus,0,0,0,0,0,1,0,0
SUMMER,ARROW,3,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,3,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,3,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,4,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,4,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,ARROW,4,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,1,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,1,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,2,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,2,MIDWATER,Brachyistius frenatus,2,0,0,0,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,3,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,3,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,Brachyistius frenatus,0,0,0,3,0,0,0,0
SUMMER,BEYOND,4,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,4,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,1,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,1,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,1,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,2,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,2,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,2,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,3,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,3,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,3,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,4,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,4,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,PARADISE,4,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,1,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,1,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,1,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,2,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,2,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,2,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,3,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,3,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,3,BENTHIC,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,4,CANOPY,Brachyistius frenatus,0,0,0,0,0,0,0,0
SUMMER,EMPIRE,4,MIDWATER,Brachyistius frenatus,0,0,0,0,0,0,0,0
