Season,Site,Transect,Strata,QUAD,species,10,12
SUMMER,BEYOND,1,BENTHIC,2.9,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,4.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,7,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,11.3,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,14.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,15.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,18,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,23.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,25.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,1,BENTHIC,29.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,1.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,3.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,9,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,9.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,14.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,16.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,20.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,22.5,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,26.9,Gibbonsia elegans,0,0
SUMMER,BEYOND,2,BENTHIC,28,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,0,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,4.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,7.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,9.7,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,14.7,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,17.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,18.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,21,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,24.3,Gibbonsia elegans,0,0
SUMMER,BEYOND,3,BENTHIC,28.7,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,0.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,3.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,7.2,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,9.3,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,13.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,16.9,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,19.4,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,23.8,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,26.6,Gibbonsia elegans,0,0
SUMMER,BEYOND,4,BENTHIC,27.9,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,0.4,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,4.2,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,6.5,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,11.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,13.9,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,15.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,19.2,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,22.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,25.8,Gibbonsia elegans,0,0
SUMMER,PARSONS,1,BENTHIC,27.1,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,0.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,4.5,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,7.3,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,9.7,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,14.4,Gibbonsia elegans,0,0
SUMMER,PARSONS,2,BENTHIC,17.1,Gibbonsia elegans,0,0
