Season,Site,Transect,Strata,QUAD,species,1,2,3,4,5
SUMMER,BEYOND,1,BENTHIC,2.9,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,4.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,7,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,11.3,Lythrypnus dalli,0,2,1,0,0
SUMMER,BEYOND,1,BENTHIC,14.6,Lythrypnus dalli,0,1,1,0,0
SUMMER,BEYOND,1,BENTHIC,15.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,18,Lythrypnus dalli,0,1,0,0,0
SUMMER,BEYOND,1,BENTHIC,23.6,Lythrypnus dalli,0,1,0,0,0
SUMMER,BEYOND,1,BENTHIC,25.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,29.2,Lythrypnus dalli,0,2,0,0,0
SUMMER,BEYOND,2,BENTHIC,1.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,3.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,9,Lythrypnus dalli,0,8,2,3,0
SUMMER,BEYOND,2,BENTHIC,9.5,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,14.2,Lythrypnus dalli,0,2,0,1,1
SUMMER,BEYOND,2,BENTHIC,16.2,Lythrypnus dalli,0,2,1,0,0
SUMMER,BEYOND,2,BENTHIC,20.6,Lythrypnus dalli,0,1,4,0,0
SUMMER,BEYOND,2,BENTHIC,22.5,Lythrypnus dalli,0,0,1,2,0
SUMMER,BEYOND,2,BENTHIC,26.9,Lythrypnus dalli,0,3,1,3,1
SUMMER,BEYOND,2,BENTHIC,28,Lythrypnus dalli,0,8,1,1,0
SUMMER,BEYOND,3,BENTHIC,0,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,4.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,7.4,Lythrypnus dalli,0,0,1,0,0
SUMMER,BEYOND,3,BENTHIC,9.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,14.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,17.6,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,18.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,21,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,24.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,28.7,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,0.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,3.4,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,7.2,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,9.3,Lythrypnus dalli,0,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,13.6,Lythrypnus dalli,0,0,0,0,0
