Season,Site,Transect,Strata,QUAD,species,8
SUMMER,BEYOND,1,BENTHIC,2.9,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,4.5,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,7,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,11.3,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,14.6,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,15.5,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,18,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,23.6,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,25.4,Paraclinus integripinnis,0
SUMMER,BEYOND,1,BENTHIC,29.2,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,1.2,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,3.2,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,9,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,9.5,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,14.2,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,16.2,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,20.6,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,22.5,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,26.9,Paraclinus integripinnis,0
SUMMER,BEYOND,2,BENTHIC,28,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,0,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,4.6,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,7.4,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,9.7,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,14.7,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,17.6,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,18.2,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,21,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,24.3,Paraclinus integripinnis,0
SUMMER,BEYOND,3,BENTHIC,28.7,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,0.2,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,3.4,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,7.2,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,9.3,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,13.6,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,16.9,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,19.4,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,23.8,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,26.6,Paraclinus integripinnis,0
SUMMER,BEYOND,4,BENTHIC,27.9,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,0.4,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,4.2,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,6.5,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,11.3,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,13.9,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,15.3,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,19.2,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,22.3,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,25.8,Paraclinus integripinnis,0
SUMMER,PARSONS,1,BENTHIC,27.1,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,0.3,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,4.5,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,7.3,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,9.7,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,14.4,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,17.1,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,20.6,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,21.1,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,24.4,Paraclinus integripinnis,0
SUMMER,PARSONS,2,BENTHIC,29.1,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,2.8,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,5.8,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,8,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,10.7,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,13.7,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,17.4,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,18.2,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,23.7,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,26.4,Paraclinus integripinnis,0
SUMMER,PARSONS,3,BENTHIC,28.7,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,2.8,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,5.6,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,6.8,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,10.9,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,14.6,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,16,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,18.6,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,22,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,24.7,Paraclinus integripinnis,0
SUMMER,PARSONS,4,BENTHIC,29.5,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,0.1,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,5.9,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,7.7,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,11.7,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,13.6,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,17.7,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,20,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,21.4,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,25.1,Paraclinus integripinnis,0
SUMMER,ARROW,1,BENTHIC,29.9,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,1.2,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,3.3,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,8.8,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,10.7,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,13.2,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,17.8,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,19,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,23,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,24.3,Paraclinus integripinnis,0
SUMMER,ARROW,2,BENTHIC,27.1,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,1,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,4.2,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,7.6,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,9.3,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,13.9,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,15.5,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,20,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,22.2,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,25.8,Paraclinus integripinnis,0
SUMMER,ARROW,3,BENTHIC,27.4,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,0.3,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,4.2,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,7.5,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,10.3,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,12.7,Paraclinus integripinnis,0
SUMMER,ARROW,4,BENTHIC,15.1,Paraclinus integripinnis,0
