Season,Site,Transect,Strata,QUAD,species,12,15,20,30
SUMMER,BEYOND,1,BENTHIC,2.9,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,4.5,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,7,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,11.3,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,14.6,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,15.5,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,18,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,23.6,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,25.4,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,1,BENTHIC,29.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,1.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,3.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,9,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,9.5,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,14.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,16.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,20.6,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,22.5,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,26.9,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,2,BENTHIC,28,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,0,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,4.6,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,7.4,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,9.7,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,14.7,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,17.6,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,18.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,21,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,24.3,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,3,BENTHIC,28.7,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,0.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,3.4,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,7.2,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,9.3,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,13.6,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,16.9,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,19.4,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,23.8,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,26.6,Scorpaena guttata,0,0,0,0
SUMMER,BEYOND,4,BENTHIC,27.9,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,0.4,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,4.2,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,6.5,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,11.3,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,13.9,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,15.3,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,19.2,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,22.3,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,25.8,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,1,BENTHIC,27.1,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,0.3,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,4.5,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,7.3,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,9.7,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,14.4,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,17.1,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,20.6,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,21.1,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,24.4,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,2,BENTHIC,29.1,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,2.8,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,5.8,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,8,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,10.7,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,13.7,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,17.4,Scorpaena guttata,0,0,0,0
SUMMER,PARSONS,3,BENTHIC,18.2,Scorpaena guttata,0,0,0,0
